symbol,log2FC,FDR
SART1,0.5942826666666665,0.020860944829097682
ILF2,0.07892999999999972,0.37874434921294564
SPAG7,-0.0993909999999989,0.3861704128587944
ZPR1,-0.07174366666666643,0.07946128444067069
TAF10,0.004783333333334028,0.8824062757037833
C1D,-0.5191093333333328,0.08753420667888649
NONO,0.2995133333333353,0.1190268873747042
SNRNP200,0.25399366666666623,0.08200273926376475
RHOA,0.29939333333333273,0.046983474760923426
RNPS1,0.1772896666666668,0.19176199650702375
RPS24,-0.02261000000000024,0.7923962323717029
RPL30,-0.06939000000000206,0.08640070725880661
NPM1,-0.05771333333333217,0.3767302063627185
HSP90AB1,0.32077666666666715,0.03712963400980069
ARF1,0.29716333333333367,0.052387125909415216
IK,0.061855000000001326,0.2557655890845022
CANX,0.2729500000000016,0.09844015631057579
SART3,-0.1874280000000006,0.10181307225418008
CNPPD1,0.06901266666666572,0.4068176902784394
HNRNPM,0.43843133333333384,0.03861348664440339
HNRNPD,0.20817666666666668,0.0555141100125446
RPL14,-0.0771566666666672,0.15830558837086103
GUK1,-0.18159666666666752,0.19956593776850115
KXD1,0.08919599999999939,0.330727213690307
OAZ1,0.013749999999999929,0.779831686622164
ATP6V0B,-0.13928666666666878,0.046235727545957415
KARS1,0.010703333333335507,0.8499306184531255
ELOB,-0.06632333333333307,0.2887769759393902
TMED2,-0.04741999999999891,0.5650144125278581
HBB,0.04165799999999997,0.8394925879167442
HBB,-0.036275666666666595,0.8412781542843027
COX7C,-0.2112033333333354,0.03837605911795717
COL1A1,0.36547566666666675,0.2461107047557875
COL1A1,0.14703999999999962,0.15216873115233237
COL1A1,0.1583926666666673,0.18432270625100397
COL1A2,-0.09258933333333275,0.5889256160573622
RPS21,-0.04577999999999882,0.48994892797386735
CST3,0.12207333333333281,0.06861626408836576
TIMP1,0.08318399999999926,0.14824368150901776
TIMP1,0.1001586666666654,0.3358852297994012
ATP6V0E1,-0.2275500000000008,0.1584477270531049
ATP6V0E1,-0.3221299999999978,0.09271086540292423
A2M,0.17267299999999963,0.24211708261468567
SPDEF,-0.11046533333333386,0.45142442992461757
SPDEF,-0.014044333333333547,0.9026083475308739
SEPTIN2,0.30935333333333404,0.2188018712605704
SEPTIN2,-0.043736666666667645,0.5059908602374927
SERPING1,-0.34535166666666584,0.1516760934145164
COXFA4,-0.08762666666666519,0.22055036381376425
LGALS3BP,0.8209553333333339,0.029970487190749337
UBA1,0.42445799999999956,0.04728867646503495
MDH1,-0.3927866666666677,0.12212151369814585
TRIM28,0.40767100000000056,0.04331291646747844
CALR,0.29576700000000056,0.14856336653178
